"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","323:13:31","N/A"
"System","4","Services","0","20 K","Unknown","N/A","1:18:23","N/A"
"Registry","100","Services","0","30,824 K","Unknown","N/A","0:00:08","N/A"
"smss.exe","376","Services","0","228 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","576","Services","0","2,028 K","Unknown","N/A","0:00:04","N/A"
"wininit.exe","768","Services","0","644 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","776","Console","1","3,092 K","Running","N/A","0:08:41","N/A"
"services.exe","848","Services","0","7,212 K","Unknown","N/A","0:01:30","N/A"
"lsass.exe","856","Services","0","14,664 K","Unknown","N/A","0:02:20","N/A"
"svchost.exe","968","Services","0","28,008 K","Unknown","N/A","0:05:36","N/A"
"fontdrvhost.exe","1000","Services","0","556 K","Unknown","N/A","0:00:00","N/A"
"WUDFHost.exe","504","Services","0","5,172 K","Unknown","N/A","0:00:03","N/A"
"svchost.exe","628","Services","0","16,188 K","Unknown","N/A","0:03:40","N/A"
"svchost.exe","728","Services","0","4,480 K","Unknown","N/A","0:08:46","N/A"
"WUDFHost.exe","812","Services","0","2,248 K","Unknown","N/A","0:00:00","N/A"
"winlogon.exe","1068","Console","1","5,796 K","Unknown","N/A","0:00:01","N/A"
"fontdrvhost.exe","1124","Console","1","3,000 K","Unknown","N/A","0:00:02","N/A"
"dwm.exe","1200","Console","1","73,476 K","Running","N/A","1:57:39","DWM Notification Window"
"svchost.exe","1280","Services","0","2,268 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1308","Services","0","3,912 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1328","Services","0","5,760 K","Unknown","N/A","0:00:03","N/A"
"svchost.exe","1392","Services","0","5,236 K","Unknown","N/A","0:00:04","N/A"
"svchost.exe","1416","Services","0","4,660 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","1516","Services","0","9,828 K","Unknown","N/A","0:00:32","N/A"
"svchost.exe","1592","Services","0","5,264 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1624","Services","0","5,544 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1636","Services","0","2,440 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1648","Services","0","1,816 K","Unknown","N/A","0:00:04","N/A"
"svchost.exe","1668","Services","0","13,088 K","Unknown","N/A","0:00:54","N/A"
"svchost.exe","1732","Services","0","2,388 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1796","Services","0","2,112 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1840","Services","0","6,368 K","Unknown","N/A","0:00:15","N/A"
"svchost.exe","1988","Services","0","6,776 K","Unknown","N/A","0:00:19","N/A"
"svchost.exe","508","Services","0","1,416 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1728","Services","0","6,000 K","Unknown","N/A","0:01:41","N/A"
"svchost.exe","2072","Services","0","1,468 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2088","Services","0","4,040 K","Unknown","N/A","0:00:10","N/A"
"svchost.exe","2264","Services","0","15,276 K","Unknown","N/A","0:02:53","N/A"
"svchost.exe","2272","Services","0","6,736 K","Unknown","N/A","0:00:22","N/A"
"svchost.exe","2440","Services","0","2,244 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2456","Services","0","9,392 K","Unknown","N/A","0:00:24","N/A"
"ibmpmsvc.exe","2508","Services","0","2,968 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2612","Services","0","4,100 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2620","Services","0","6,392 K","Unknown","N/A","0:06:41","N/A"
"svchost.exe","2636","Services","0","1,448 K","Unknown","N/A","0:00:08","N/A"
"svchost.exe","2680","Services","0","6,768 K","Unknown","N/A","0:00:17","N/A"
"Memory Compression","2724","Services","0","3,56,300 K","Unknown","N/A","0:04:07","N/A"
"svchost.exe","2744","Services","0","5,160 K","Unknown","N/A","0:00:00","N/A"
"igfxCUIService.exe","2832","Services","0","4,464 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2884","Services","0","3,148 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","2892","Services","0","3,560 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","2972","Services","0","18,252 K","Unknown","N/A","0:06:37","N/A"
"svchost.exe","3052","Services","0","7,944 K","Unknown","N/A","0:00:07","N/A"
"svchost.exe","2252","Services","0","2,972 K","Unknown","N/A","0:00:00","N/A"
"RtkAudioService64.exe","2536","Services","0","2,440 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2140","Services","0","2,772 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","3076","Services","0","5,420 K","Unknown","N/A","0:01:08","N/A"
